Distance of closest 10 CCGs (excluding specialised commissioning) is defined as the sum of squared differences between 12 standardised demographic variables. The standardisation method is interdecile standardisation, which is calculated by taking the CCG value, subtracting the medium, and then dividing by the difference between the 90th and 10th percentiles.

Closest 10 CCGs: https://www.england.nhs.uk/publication/similar-10-ccg-explorer-tool/ (last accessed 25 February 2019)."¬Secondary Uses Service (SUS) via the National Commissioning Data Repository (NCDR)¬N/A¬CCG¬Monthly¬N/A¬Net¬N/A¬N/A¬N/A¬N/A¬N/A¬N/A¬Not in publication¬Lower figure calculated as the difference between the CCG rate for total outpatient attendances and the average for the 'closest 10' CCGs, multiplied by the average unit price for the selected CCG, expressed as £ per 1,000. Upper figure calculated as the difference between the CCG rate for total outpatient attendances and the average of the five lowest rates amongst the 'closest 10' CCGs, multiplied by the average unit price for the selected CCG, expressed as £ per 1,000.¬0¬¬NHSE/I¬OIC activity¬Tom Mason and Matt Whitston¬-¬¬¬Accident and Emergency;Attendances;Finance;Outpatients¬CCG and Activity Benchmarking Tool¬0¬Structure¬Clinical Commissioning Groups
25¬Total A&E attendances YTD by CCG (number)¬Number of total A&E attendances at consultant-led general and acute specialties YTD by CCG¬Total Accident and Emergency (A&E) attendances in year to date (YTD) by Clinical Commissioning Group (CCG)¬Total A&E attendances are reported to give a full picture of emergency care activity in the CCG.¬Number of actual A&E attendances YTD¬N/A¬"Total A&E attendances are based on 365 calendar days, irrespective of leap or non-leap year periods.  This ensures that the comparison between the periods is fair and on the same basis, regardless of the number of working or calendar days in two 12 month periods.

Planned follow-up attendances are excluded as these are not considered to be emergency care.

SQL code is available for users of the National Commissioning Data Repository (NCDR):
NCDR NHSE_Sandbox_Operations - variable AE_All_YTD from  SP_CCG_benchmarking stored procedure"¬Secondary Uses Service (SUS) via the NCDR¬N/A¬CCG¬Monthly¬N/A¬Net¬N/A¬N/A¬N/A¬N/A¬N/A¬N/A¬Not in publication¬Number of total A&E attendances YTD actual¬0¬¬NHSE/I¬OIC activity¬Tom Mason and Matt Whitston¬-¬¬¬Accident and Emergency;Attendances¬CCG and Activity Benchmarking Tool¬0¬Outcome¬Clinical Commissioning Groups
26¬Planned total A&E attendances YTD by CCG (number)¬Number of planned total A&E attendances YTD by CCG¬Planned total Accident and Emergency (A&E) attendances in year to date (YTD) by Clinical Commissioning Group (CCG)¬Total A&E attendances are reported to give a full picture of emergency care activity in the CCG.¬Number of planned total A&E attendances YTD¬N/A¬"Total A&E attendances are based on 365 calendar days, irrespective of leap or non-leap year periods.  This ensures that the comparison between the periods is fair and on the same basis, regardless of the number of working or calendar days in two 12 month periods.

Planned follow-up attendances are excluded as these are not considered to be emergency care.

SQL code is available for users of the National Commissioning Data Repository (NCDR):
Select Non Empty
([Measures].[Plan CCG Activity Count], [Date].[Fiscal Year Month].[Fiscal Year Month]) on Columns,
Non Empty
{ (
  [Commissioning Type].[Commissioning Type Description].[Commissioning Type Description].ALLMEMBERS *
 [Commissioners].[Org code].[Org code].ALLMEMBERS
) } on Rows
From (Select ( [Date].[Fiscal Year Month].&[201201] : [Date].[Fiscal Year Month].&[201812] ) ON COLUMNS
FROM ( SELECT ( [Load Date].[Date Name].&[2017/09/12] ) ON COLUMNS
 FROM ( SELECT ( { [Activity Type].[Activity Description].&[Unknown A and E Type], [Activity Type].[Activity Description].&[A and E Type 1 department], [Activity Type].[Activity Description].&[A and E Type 2 department], [Activity Type].[Activity Description].&[A and E Type 3 department], [Activity Type].[Activity Description].&[A and E Type 4 department], [Activity Type].[Activity Description].&[Other A and E Type] } ) ON COLUMNS
from [Draft_plans]
)
)
)
"¬Secondary Uses Service (SUS) via the NCDR¬N/A¬CCG¬Monthly¬N/A¬Net¬N/A¬N/A¬N/A¬N/A¬N/A¬N/A¬Not in publication¬Number of total A&E attendances YTD plan¬0¬¬NHSE/I¬OIC activity¬Tom Mason and Matt Whitston¬Note that plan load date is the most recently available plan data¬¬¬Accident and Emergency;Attendances;Plan¬CCG and Activity Benchmarking Tool¬0¬Outcome¬Clinical Commissioning Groups
27¬Total A&E attendances YTD variance to plan by CCG (number)¬Number variance to plan of total A&E attendances YTD by CCG¬Variance to plan of the number of all Accident and Emergency (A&E) attendances in year to date (YTD) by Clinical Commissioning Group (CCG)¬Total A&E attendances are reported to give a full picture of emergency care activity in the CCG.¬Difference between the number of total A&E attendances YTD plan and the number of total A&E attendances YTD actual¬N/A¬"Total A&E attendances are based on 365 calendar days, irrespective of leap or non-leap year periods.  This ensures that the comparison between the periods is fair and on the same basis, regardless of the number of working or calendar days in two 12 month periods.

Planned attendances are excluded as these are not considered to be emergency care."¬Secondary Uses Service (SUS) via the NCDR¬N/A¬N/A¬N/A¬N/A¬N/A¬N/A¬N/A¬N/A¬N/A¬N/A¬N/A¬Not in publication¬Difference between the number of total A&E attendances YTD plan and the number of total A&E attendances YTD actual¬0¬¬NHSE/I¬OIC activity¬Tom Mason and Matt Whitston¬-¬¬¬0¬CCG and Activity Benchmarking Tool¬0¬Outcome¬Clinical Commissioning Groups
28¬Total A&E attendances YTD variance to plan by CCG (%)¬Percentage variance to plan of total A&E attendances YTD by CCG¬Variance to plan of the percentage of all Accident and Emergency (A&E) attendances in year to date (YTD) by Clinical Commissioning Group (CCG)¬Total A&E attendances are reported to give a full picture of emergency care activity in the CCG.¬Difference between the number of total A&E attendances YTD plan and the number of total A&E attendances YTD actual¬Number of total A&E attendances YTD plan¬"Total A&E attendances are based on 365 calendar days, irrespective of leap or non-leap year periods.  This ensures that the comparison between the periods is fair and on the same basis, regardless of the number of working or calendar days in two 12 month periods.

Planned attendances are excluded as these are not considered to be emergency care."¬Secondary Uses Service (SUS) via the National Commissioning Data Repository (NCDR)¬N/A¬CCG¬Monthly¬N/A¬Net¬Secondary Uses Service (SUS) via National Commissioning Data Repository (NCDR)¬N/A¬CCG¬Monthly¬N/A¬Net¬Not in publication¬Difference between the number of A&E attendances YTD plan and the number of A&E attendances YTD actual divided by the number of A&E attendances YTD plan, expressed as a percentage.¬0¬¬NHSE/I¬OIC activity¬Tom Mason and Matt Whitston¬-¬¬¬0¬CCG and Activity Benchmarking Tool¬0¬Outcome¬Clinical Commissioning Groups
29¬Total A&E attendances YTD variance to plan by CCG (value)¬Value of variance to plan of total A&E attendances YTD by CCG¬Value of the variance in total Accident and Emergency (A&E) attendances in year to date (YTD) minus planned total A&E attendances YTD by Clinical Commissioning Group (CCG)¬Total A&E attendances are reported to give a full picture of emergency care activity in the CCG.¬Variance to plan of total A&E attendances multiplied by the average unit price¬N/A¬"Total A&E attendances are based on 365 calendar days, irrespective of leap or non-leap year periods.  This ensures that the comparison between the periods is fair and on the same basis, regardless of the number of working or calendar days in two 12 month periods.

Planned attendances are excluded as these are not considered to be emergency care."¬Secondary Uses Service (SUS) via the National Commissioning Data Repository (NCDR)¬N/A¬CCG¬Monthly¬N/A¬Net¬N/A¬N/A¬N/A¬N/A¬N/A¬N/A¬Not in publication¬Value of variance is calculated by multiplying YTD variance to plan of total A&E attendances by the average unit price (£) for the selected CCG¬0¬¬NHSE/I¬OIC activity¬Tom Mason and Matt Whitston¬-¬¬¬0¬CCG and Activity Benchmarking Tool¬0¬Outcome¬Clinical Commissioning Groups
30¬Total A&E attendances YTD variance to plan category by CCG¬Category of percentage variance to plan of total A&E attendances YTD by CCG¬Category of percentage variance in total Accident and Emergency (A&E) attendances in year to date (YTD) minus planned total A&E attendances YTD by Clinical Commissioning Group (CCG)¬"Total A&E attendances are reported to give a full picture of emergency care activity in the CCG. Planned follow-ups are excluded as these are not considered to be emergency care.

The 1% CCG variance to plan threshold represents a value that has operational relevance and credibility, identifies a manageable proportion of CCGs and offers simplicity.  It is not based on statistical significance. "¬Total A&E attendances¬N/A¬Variance to plan of total A&E attendances YTD by CCG: Green if <=0%; Amber if >0% and <1%; Red if >=1%¬Secondary Uses Service (SUS) via the National Commissioning Data Repository (NCDR)¬N/A¬CCG¬Monthly¬Month in lieu¬Net¬N/A¬N/A¬N/A¬N/A¬N/A¬N/A¬Not in publication¬CCG plan variance numbers categorised by less than or equal to 0%, between 0 and 1%, and greater than or equal to 1%.¬0¬¬NHSE/I¬OIC activity¬Tom Mason and Matt Whitston¬-¬¬¬0¬CCG and Activity Benchmarking Tool¬0¬Outcome¬Clinical Commissioning Groups
31¬A&E Type 1 and 2 attendances current year activity rate by CCG per 100,000 population¬A&E Type 1 and 2 attendances most recent 12 months rolling rate per 100,000 population by CCG¬Accident and Emergency (A&E) Type 1 and 2 attendances most recent 12 months rolling rate per 100,000 needs weighted population by Clinical Commissioning Group (CCG)¬"A&E Type 1 and 2 attendances are reported to give a picture of emergency care activity in the CCG, excluding minor injury units and walk-in centres.

The rate per weighted population is adjusted for need, as otherwise high-need CCGs would show high utilisation as a result of their population base rather than policy and operational factors.

Standardisation by age and sex is not a practical option because numbers required to adjust denominators to take account of data quality are not available by age and sex.  Standardisation by age and sex is also an unrealistic approach due to challenges of extracting and processing required information on a timely, monthly basis. "¬A&E Type 1 and 2 attendances latest 12 months¬Adjusted needs weighted population¬"A&E Type 1 and 2 attendances are based on 365 calendar days, irrespective of leap or non-leap year periods.  This ensures that the comparison between the periods is fair and on the same basis, regardless of the number of working or calendar days in two 12 month periods.

Populations are General and Acute weighted populations including 10% unmet need (Standardised Mortality Ratio <75) adjustment, but excluding the market forces factor adjustment.

Planned follow-up attendances are excluded as these are not considered to be emergency care.

Type 1 and 2 activity is considered to be complete in Secondary Uses Service (SUS), while there is some variation in reporting of other units.

SQL code is available for users of the National Commissioning Data Repository (NCDR):
Activity count = NCDR NHSE_Sandbox_Operations - variable AE_12_yr_2 from  SP_CCG_benchmarking stored procedure"¬SUS via the NCDR¬N/A¬CCG¬Monthly¬Month in lieu¬Net¬ONS projected resident populations¬"https://www.england.nhs.uk/2016/04/allocations-tech-guide-16-17/

Spreadsheet files, J - Overall weighted populations CCGs [latest year], CCG weighted populations

Last accessed 4 April 2019"¬CCG¬Annual¬Year in advance¬Net¬Not in publication¬A&E Type 1 and 2 attendances latest 12 months divided by the total needs-weighted population of segmented area, multiplied by 100,000¬0¬¬NHSE/I¬OIC activity¬Tom Mason and Matt Whitston¬Note that population is related to time period reported; the year of population selected is the one in which the majority of the activity occurs.¬¬¬0¬CCG and Activity Benchmarking Tool¬0¬Outcome¬Clinical Commissioning Groups
32¬A&E Type 1 and 2 attendances prior year activity rate by CCG per 100,000 population¬A&E Type 1 and 2 attendance rate per 100,000 population, 12 months prior to current 12 months rolling period, by CCG¬Accident and Emergency (A&E) Type 1 and 2 attendances previous 12 months rolling rate per 100,000 needs weighted population by Clinical Commissioning Group (CCG)¬"A&E Type 1 and 2 attendances are reported to give a picture of emergency care activity in the CCG, excluding minor injury units and walk-in centres.

The rate per weighted population is adjusted for need, as otherwise high-need CCGs would show high utilisation as a result of their population base rather than policy and operational factors.

Standardisation by age and sex is not a practical option because numbers required to adjust denominators to take account of data quality are not available by age and sex.  Standardisation by age and sex is also an unrealistic approach due to challenges of extracting and processing required information on a timely, monthly basis. "¬A&E Type 1 and 2 attendances previous 12 months¬Adjusted needs weighted population¬"A&E Type 1 and 2 attendances are based on 365 calendar days, irrespective of leap or non-leap year periods.  This ensures that the comparison between the periods is fair and on the same basis, regardless of the number of working or calendar days in two 12 month periods.

Populations are General and Acute weighted populations including 10% unmet need (Standardised Mortality Ratio <75) adjustment, but excluding the market forces factor adjustment.

Planned follow-up attendances are excluded as these are not considered to be emergency care.

Type 1 and 2 activity is considered to be complete in Secondary Uses Service (SUS), while there is some variation in reporting of other units.

SQL code is available for users of the National Commissioning Data Repository (NCDR):
Activity count = NCDR NHSE_Sandbox_Operations - variable AE_12_yr_1 from  SP_CCG_benchmarking stored procedure"¬SUS via the NCDR¬N/A¬CCG¬Monthly¬Month in lieu¬Net¬ONS projected resident populations¬"https://www.england.nhs.uk/2016/04/allocations-tech-guide-16-17/

Spreadsheet files, J - Overall weighted populations CCGs [latest year], CCG weighted populations

Last accessed 4 April 2019"¬CCG¬Annual¬Year in advance¬Net¬Not in publication¬A&E Type 1 and 2 attendances previous 12 months divided by the total needs-weighted population of segmented area, multiplied by 100,000¬0¬¬NHSE/I¬OIC activity¬Tom Mason and Matt Whitston¬Note that population is related to time period reported; the year of population selected is the one in which the majority of the activity occurs.¬¬¬0¬CCG and Activity Benchmarking Tool¬0¬Outcome¬Clinical Commissioning Groups
33¬A&E Type 1 and 2 change in rate compared to previous 12 months by CCG (%)¬Percentage change in the rate of A&E Type 1 and 2 attendances most recent 12 months rolling period versus 12 months prior to current rolling period by CCG¬Accident and Emergency (A&E) Type 1 and 2 change in rate of attendance¬A&E Type 1 and 2 attendances are reported to give a picture of emergency care activity in the Clinical Commissioning Groups (CCG), excluding minor injury units and walk-in centres.¬Difference between A&E Type 1 and 2 attendances latest 12 months and A&E Type 1 and 2 attendances previous 12 months¬A&E Type 1 and 2 attendances previous 12 months¬"A&E Type 1 and 2 attendances are based on 365 calendar days, irrespective of leap or non-leap year periods.  This ensures that the comparison between the periods is fair and on the same basis, regardless of the number of working or calendar days in two 12 month periods.

Planned follow-up attendances are excluded as these are not considered to be emergency care.

Type 1 and 2 activity is considered to be complete in Secondary Uses Service (SUS), while there is some variation in reporting of other units."¬SUS via the NCDR¬N/A¬CCG¬Monthly¬Month in lieu¬Net¬Strategic Data Collection Service (SDCS) via National Commissioning Data Repository (NCDR)¬N/A¬CCG¬Monthly¬Month in lieu¬Net¬Not in publication¬Difference between A&E Type 1 and 2 attendances latest 12 months and A&E Type 1 and 2 attendances previous 12 months divided by A&E Type 1 and 2 attendances previous 12 months, expressed as a percentage.¬0¬¬NHSE/I¬OIC activity¬Tom Mason and Matt Whitston¬-¬¬¬0¬CCG and Activity Benchmarking Tool¬0¬Outcome¬Clinical Commissioning Groups
34¬Total referrals current year activity rate by CCG per 100,000 population¬Total referrals into general and acute specialties most recent 12 months rolling rate per 100,000 population by CCG¬Total referrals to general and acute specialties most recent 12 months rolling rate per 100,000 needs weighted population by Clinical Commissioning Group (CCG)¬"Total referrals are reported to give a view of all referrals activity in the CCG.

The rate per weighted population is adjusted for need, as otherwise high-need CCGs would show high utilisation as a result of their population base rather than policy and operational factors.

Standardisation by age and sex is not a practical option because numbers required to adjust denominators to take account of data quality are not available by age and sex.  Standardisation by age and sex is also an unrealistic approach due to challenges of extracting and processing required information on a timely, monthly basis. "¬Total referrals latest 12 months¬Adjusted needs weighted population¬"Referrals are based on 253 working days, irrespective of leap or non-leap year periods.  This ensures that the comparison between the periods is fair and on the same basis, regardless of the number of working or calendar days in two 12 month periods.

Populations are General and Acute weighted populations including 10% unmet need (Standardised Mortality Ratio <75) adjustment, but excluding the market forces factor adjustment.

SQL code is available for users of the National Commissioning Data Repository (NCDR):
Activity count = NCDR NHSE_Sandbox_Operations - variable Ref_GP_yr_2 + Ref_Oth_yr_2 from  SP_CCG_benchmarking stored procedure."¬Strategic Data Collection Service (SDCS) via the NCDR¬N/A¬CCG¬Monthly¬Month in lieu¬Net¬ONS projected resident populations¬"https://www.england.nhs.uk/2016/04/allocations-tech-guide-16-17/

Spreadsheet files, J - Overall weighted populations CCGs [latest year], CCG weighted populations

Last accessed 4 April 2019"¬CCG¬Annual¬Year in advance¬Net¬Not in publication¬Total referrals latest 12 months divided by the total needs-weighted population of segmented area, multiplied by 100,000¬0¬¬NHSE/I¬OIC activity¬Tom Mason and Matt Whitston¬-¬¬¬0¬CCG and Activity Benchmarking Tool¬0¬Process¬Clinical Commissioning Groups
35¬Total referrals prior year activity rate by CCG per 100,000 population¬Total referrals into general and acute specialties rate per 100,000 population, 12 months prior to current 12 months rolling period, by CCG¬Total referrals to general and acute specialties previous 12 months rolling rate per 100,000 needs weighted population by Clinical Commissioning Group (CCG)¬"Total referrals are reported to give a view of all referrals activity in the CCG.

The rate per weighted population is adjusted for need, as otherwise high-need CCGs would show high utilisation as a result of their population base rather than policy and operational factors.

Standardisation by age and sex is not a practical option because numbers required to adjust denominators to take account of data quality are not available by age and sex.  Standardisation by age and sex is also an unrealistic approach due to challenges of extracting and processing required information on a timely, monthly basis. "¬Total referrals previous 12 months¬Adjusted needs weighted population¬"Referrals are based on 253 working days, irrespective of leap or non-leap year periods.  This ensures that the comparison between the periods is fair and on the same basis, regardless of the number of working or calendar days in two 12 month periods.

Populations are General and Acute weighted populations including 10% unmet need (Standardised Mortality Ratio <75) adjustment, but excluding the market forces factor adjustment.

SQL code is available for users of the National Commissioning Data Repository (NCDR):
Activity count = NCDR NHSE_Sandbox_Operations - variable Ref_GP_yr_1 + Ref_Oth_yr_1  from  SP_CCG_benchmarking stored procedure"¬Strategic Data Collection Service (SDCS) via the NCDR¬N/A¬CCG¬Monthly¬Month in lieu¬Net¬ONS projected resident populations¬"https://www.england.nhs.uk/2016/04/allocations-tech-guide-16-17/

Spreadsheet files, J - Overall weighted populations CCGs [latest year], CCG weighted populations

Last accessed 4 April 2019"¬CCG¬Annual¬Year in advance¬Net¬Not in publication¬Total referrals previous 12 months divided by the total needs-weighted population of segmented area, multiplied by 100,000¬0¬¬NHSE/I¬OIC activity¬Tom Mason and Matt Whitston¬Note that population is related to time period reported; the year of population selected is the one in which the majority of the activity occurs.¬¬¬0¬CCG and Activity Benchmarking Tool¬0¬Process¬Clinical Commissioning Groups
36¬Total referrals change in rate compared to previous 12 months by CCG (%)¬Percentage change in the rate of total referrals into the general and acute specialties most recent 12 months rolling period versus 12 months prior to current rolling period by CCG¬Total referrals to general and acute specialties change in rate of attendance most recent 12 months rolling period vs 12 months prior to current rolling period by Clinical Commissioning Group (CCG)¬Total referrals are reported to give a view of all referrals activity in the CCG.¬Difference between total referrals latest 12 months and total referrals previous 12 months¬Total referrals previous 12 months¬"Referrals are based on 253 working days, irrespective of leap or non-leap year periods.  This ensures that the comparison between the periods is fair and on the same basis, regardless of the number of working or calendar days in two 12 month periods.

SQL code is available for users of the National Commissioning Data Repository (NCDR):
(Activity count = NCDR NHSE_Sandbox_Operations - variable Ref_GP_yr_2 + Ref_Oth_yr_2 from  SP_CCG_benchmarking stored procedure
Minus
Activity count = NCDR NHSE_Sandbox_Operations - variable Ref_GP_yr_1 + Ref_Oth_yr_1  from  SP_CCG_benchmarking stored procedure)
Divided by
Activity count = NCDR NHSE_Sandbox_Operations - variable Ref_GP_yr_1 + Ref_Oth_yr_1  from  SP_CCG_benchmarking stored procedure
"¬Strategic Data Collection Service (SDCS) via the NCDR¬N/A¬CCG¬Monthly¬Month in lieu¬Net¬Strategic Data Collection Service (SDCS) via National Commissioning Data Repository (NCDR)¬N/A¬CCG¬Monthly¬Month in lieu¬Net¬Not in publication¬Difference between total referrals latest 12 months and total referrals previous 12 months divided by total referrals previous 12 months, expressed as a percentage¬0¬¬NHSE/I¬OIC activity¬Tom Mason and Matt Whitston¬-¬¬¬0¬CCG and Activity Benchmarking Tool¬0¬Process¬Clinical Commissioning Groups
37¬Total referrals YTD actual by CCG¬Number of total referrals to general and acute specialties YTD by CCG¬Total referrals to general and acute specialties in year to date (YTD) by CCG.¬Total referrals are reported to give a view of all referrals activity in the CCG.¬Number of total referrals to general and acute specialties¬N/A¬"Total referrals to general and acute specialities.

SQL code is available for users of the National Commissioning Data Repository (NCDR):
NCDR NHSE_Sandbox_Operations - variable Ref_GP_YTD + Ref_Oth_YTD from  SP_CCG_benchmarking stored procedure"¬Strategic Data Collection Service (SDCS) via the NCDR¬N/A¬CCG¬Monthly¬Month in lieu¬Net¬N/A¬N/A¬N/A¬N/A¬N/A¬N/A¬Not in publication¬Number of total referrals YTD actual¬0¬¬NHSE/I¬OIC activity¬Tom Mason and Matt Whitston¬-¬¬¬0¬CCG and Activity Benchmarking Tool¬0¬Process¬Clinical Commissioning Groups
38¬Total referrals YTD plan by CCG¬Number of planned total referrals into the general and acute specialties YTD by CCG¬Planned total referrals to general and acute specialties in year to date (YTD) by Clinical Commissioning Group (CCG)¬Total referrals are reported to give a view of all referrals activity in the CCG.¬Number of planned total referrals YTD¬N/A¬"Total referrals to general and acute specialities.

SQL code is available for users of the National Commissioning Data Repository (NCDR):
Select Non Empty
([Measures].[Plan Total Referrals General And Acute] , [Date].[Fiscal Year Month].[Fiscal Year Month]) on Columns,
{ (
 [Commissioning Type].[Commissioning Type Description].[Commissioning Type Description].ALLMEMBERS *
 [Commissioners].[Org code].[Org code].ALLMEMBERS
) } on Rows
From (
Select ( [Date].[Fiscal Year Month].&[201201] : [Date].[Fiscal Year Month].&[201812] ) ON COLUMNS
FROM ( SELECT ( [Load Date].[Date Name].&[2017/09/12] ) ON COLUMNS
from [Draft_plans]
)
)"¬Strategic Data Collection Service (SDCS) via Cube¬N/A¬CCG¬Monthly¬Month in lieu¬Net¬N/A¬N/A¬N/A¬N/A¬N/A¬N/A¬Not in publication¬Number of total referrals YTD plan¬0¬¬NHSE/I¬OIC activity¬Tom Mason and Matt Whitston¬-¬¬¬0¬CCG and Activity Benchmarking Tool¬0¬Process¬Clinical Commissioning Groups
39¬Total referrals YTD variance to plan by CCG (number)¬Number variance to plan of total referrals into general and acute specialties YTD by CCG¬Variance to plan of the number of total referrals to general and acute specialties in year to date (YTD) ¬Total referrals are reported to give a view of all referrals activity in the Clinical Commissioning Groups (CCG). ¬Difference between the total number of referrals YTD plan and the total number of referrals YTD actual¬N/A¬"Total referrals to general and acute specialities.

SQL code is available for users of the National Commissioning Data Repository (NCDR):
